Data Source																																																															
																																																															
Last Updated Date																																																															
																																																															
Country Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Kazakhstan	male	4497817	4653247	4809109	4964007	5115984	5264588	5409444	5550907	5688922	5815993	5922297	6006292	6084470	6168390	6254638	6343002	6432493	6528154	6629127	6730382	6835318	6945269	7061547	7186404	7317926	7452535	7598172	7753235	7907389	7812899	7865151	7918734	7914247	7883990	7763870	7596074	7469916	7337235	7193887	7112897	7086252	7069936	7066960	7088542	7135860	7197692	7273015	7357674	7499747	7654441	7769735	7888949	8007578	8130680	8259233	8388576	8518088	8644724	8768025	8890215	9012624	9136399
Kenya	male	3840900	3985561	4140395	4304088	4476174	4658175	4848069	5044632	5248368	5458568	5672788	5882724	6091894	6307721	6526985	6749132	6972722	7208130	7460568	7724653	8005859	8302675	8612329	8938716	9278283	9625397	9977564	10336289	10706223	11084829	11469606	11844758	12210186	12574792	12942673	13312267	13678480	14050503	14435594	14849031	15293161	15769661	16262141	16758781	17274191	17802747	18346035	18903421	19479661	20068349	20642895	21195954	21733578	22259261	22770037	23268540	23780053	24296132	24784782	25272193	25780698	26279184
Kyrgyz Republic	male	1044624	1085743	1124084	1163832	1204284	1243080	1283786	1324151	1364910	1403100	1435714	1467028	1500065	1532931	1567977	1602386	1635974	1669152	1701379	1734479	1767791	1802591	1840132	1880415	1916646	1946907	1977543	2008519	2036945	2075465	2116993	2155514	2183967	2188319	2190661	2214796	2249592	2284114	2320757	2356727	2386115	2409887	2432857	2459059	2489766	2518895	2546899	2572261	2597882	2630443	2663183	2697047	2743677	2800256	2858669	2920023	2981885	3041478	3103815	3170125	3231211	3286019
Cambodia	male	2765763	2826456	2887559	2948933	3011363	3075159	3138321	3200620	3262427	3324135	3328633	3305067	3323742	3351162	3366403	3223398	2958874	2811653	2762829	2796245	2864782	2946970	3073843	3204343	3329805	3450448	3596108	3761124	3913102	4069201	4249932	4435706	4693520	4994432	5208877	5353490	5487409	5614524	5730750	5843626	5956510	6069095	6183561	6299051	6416257	6534657	6653611	6775426	6893678	7001368	7104881	7209608	7315560	7421511	7526346	7629132	7731897	7834347	7930999	8021264	8115527	8212068
Kiribati	male	23195	23811	24453	25115	25796	26494	26996	27276	27537	27926	28445	28956	29451	29903	30084	29992	29858	29696	29523	29694	30203	30718	31250	31805	32398	33080	33845	34654	35490	36332	37111	37815	38462	39056	39639	40245	40891	41572	42267	42953	43680	44473	45346	46275	47209	48127	49037	49967	50920	51896	52840	53709	54514	55285	56042	56833	57677	58544	59441	60390	61495	62724
St. Kitts and Nevis	male	26442	26316	25966	25524	25021	24462	23846	23178	22466	21686	21152	21021	20995	20963	20923	20889	20863	20842	20820	20774	20732	20703	20672	20625	20561	20487	20397	20296	20184	20057	19918	19910	20121	20420	20722	21018	21312	21610	21916	22233	22575	22855	22989	23049	23095	23139	23180	23215	23251	23282	23310	23381	23438	23427	23402	23360	23316	23270	23216	23149	23072	23015
Kuwait	male	180606	201359	224310	249131	275579	303558	331359	359216	389125	420052	449871	478358	506979	536483	567655	601871	644048	693553	745201	797447	847994	894984	940795	988423	1032168	1073840	1115961	1156274	1196710	1237201	934227	743740	898360	923899	932980	952736	985702	1022578	1059425	1096198	1132811	1169112	1204908	1239951	1273896	1319953	1385007	1456556	1528571	1600963	1675640	1788572	1938224	2088742	2175581	2339072	2462807	2507954	2655840	2738222	2671060	2590695
Latin America & Caribbean (excluding high income)	male	97866770	100621382	103456547	106366463	109341391	112367571	115423723	118503600	121605106	124730996	127886067	131054020	134249211	137499495	140793209	144120897	147478992	150925392	154470707	158050183	161624367	165129575	168622215	172179338	175754363	179317637	182862764	186396133	189947262	193502373	197113710	200742026	204322279	207889409	211463618	215023210	218527806	221997475	225436293	228829161	232150948	235402022	238580854	241659551	244688999	247683967	250610186	253475282	256262443	259007979	261656051	264576948	267500613	270361890	273192254	276001050	278821732	281733227	284769133	287712013	290211527	292256546
Lao PDR	male	1047533	1071512	1096646	1122217	1147792	1174212	1201405	1229502	1258678	1288854	1320168	1352667	1386311	1420907	1456001	1489795	1520286	1547973	1574876	1603638	1636637	1674582	1717241	1763723	1813164	1865376	1920171	1977223	2036193	2096720	2158369	2220994	2284179	2347472	2409990	2470903	2530276	2584354	2632966	2679994	2725901	2770704	2814046	2855501	2894726	2937553	2985964	3035128	3084231	3133204	3181861	3230309	3278735	3326932	3374369	3423412	3475453	3528807	3582564	3636206	3689825	3742575
Lebanon	male	905350	933611	963655	994126	1024264	1053402	1083081	1112417	1142531	1173888	1203454	1234228	1266792	1299401	1331580	1359319	1543092	1732313	1593547	1451333	1480934	1511506	1529226	1542931	1567936	1596181	1633351	1672403	1704391	1736409	1767344	1802859	1843294	1881024	1916664	1953426	1991727	2029194	2065497	2101776	2137718	2172579	2201780	2231267	2266637	2301063	2339292	2383768	2422820	2454921	2477872	2503286	2570541	2820251	3117336	3173713	3091255	3003848	2911667	2814124	2748285	2713490
Liberia	male	581810	595129	608980	623528	638749	654519	670672	687288	704504	722306	740762	759354	778548	799034	820485	842373	864620	888197	913277	939388	966472	994143	1022230	1051660	1083024	1115283	1147844	1180694	1213771	1247121	1095527	957401	1012823	1051604	1046945	1054620	1084387	1172418	1298527	1372749	1424909	1467915	1507373	1519808	1538587	1610373	1704671	1793393	1869357	1930581	1988726	2070140	2146280	2194919	2241889	2289264	2337052	2383292	2430584	2479442	2531454	2585173
Libya	male	735014	762237	791854	822977	852232	877297	899871	922360	945694	970151	995857	1022751	1051671	1086515	1136086	1199961	1269605	1342634	1419155	1499348	1582538	1667949	1755803	1846338	1923986	1986123	2045456	2102118	2157380	2212017	2265832	2318672	2370523	2421140	2469660	2515472	2558392	2598406	2636182	2673124	2712865	2757499	2806031	2858258	2914130	2972825	3032912	3096581	3164557	3232535	3300010	3148271	2988323	3045479	3100543	3145381	3187679	3234556	3284325	3329012	3369959	3409508
St. Lucia	male	43962	44502	44992	45484	45974	46474	46986	47510	48044	48612	49377	50294	51202	52100	52989	53944	54975	56020	57091	58195	59355	60554	61743	62911	64040	65130	66189	67204	68174	69106	70063	71079	72172	73267	74264	75174	76002	76765	77490	78207	78831	79395	80061	80761	81432	82078	82684	83284	83904	84552	85230	85841	86308	86694	87051	87401	87731	88031	88315	88582	88826	88940
Latin America & Caribbean	male	109846851	112899564	116038644	119256802	122537258	125867412	129223073	132598195	135997527	139424058	142886075	146371501	149888805	153468809	157099024	160766187	164464681	168251406	172142135	176068229	179992919	183850845	187700650	191617247	195555541	199490345	203418184	207343598	211292060	215247012	219261995	223293975	227277776	231248072	235221621	239175280	243073396	246930956	250746645	254507556	258187127	261785540	265309144	268730591	272095657	275422662	278673327	281855834	284954393	288007259	290960639	294173047	297385560	300534325	303641603	306719312	309757323	312717715	315533319	318250730	320695831	322699072
Least developed countries: UN classification	male	122257226	125233527	128340244	131542977	134871888	138330420	141874558	145559229	149402278	153326457	157195508	160545103	164039955	168220086	172558456	176796273	180926857	185238800	189984333	194981476	199552706	203990972	209142834	214832664	220682407	226609339	232531570	238538107	244511544	250655892	256936719	263264507	270348068	278028791	285506642	292844000	300193814	307544524	315050252	322833554	330650269	338618355	347334856	356326779	365118395	374030302	383008862	391845246	400766197	410049206	419774120	429944738	440430560	451173395	462177658	473349462	484975074	496960930	508999566	521249821	533972251	546868619
Low income	male	70230805	71886334	73610619	75399035	77275379	79236532	81256188	83378073	85605542	87883899	90216811	92594310	94973301	97422234	100007251	102668711	105384592	108089689	111039779	114132440	116692336	118983862	121820588	125050694	128408393	131866810	135328429	138905079	142506348	146289890	150094865	154012316	158683499	163717996	168483293	173333355	178465130	183509936	188531167	193772368	198984985	204365788	210537102	217062773	223449932	230037450	237093373	244311502	251513004	258893686	266443309	274159986	281821731	289150208	296502642	304169688	312369741	320950030	329849046	339235961	348833529	358364398
Liechtenstein	male	8025	8212	8416	8632	8864	9099	9342	9607	9881	10162	10451	10678	10856	11041	11230	11415	11602	11803	11998	12194	12389	12563	12737	12919	13107	13291	13472	13661	13871	14088	14295	14492	14691	14899	15108	15319	15522	15710	15889	16074	16258	16424	16583	16743	16901	17052	17197	17335	17473	17628	17764	17901	18066	18220	18378	18521	18663	18816	18961	19102	19223	19354
Sri Lanka	male	5207476	5320498	5435366	5552668	5673455	5798340	5927657	6060298	6194181	6326634	6456257	6582472	6705026	6825060	6945059	7066654	7190534	7315872	7441247	7563706	7681356	7793914	7902127	8007681	8112947	8219590	8328114	8436838	8543783	8645648	8742317	8835165	8923802	9007162	9081441	9143673	9192909	9231547	9264920	9301708	9346948	9396448	9448975	9507093	9566767	9624680	9678479	9728204	9774582	9818247	9861771	9907183	9905357	9973058	10057110	10141569	10246165	10354873	10457023	10514808	10564472	10674405
Lower middle income	male	502413204	514743198	527393450	540425616	553773813	567060447	580336428	594001642	608118235	622642655	637364893	651861667	666886610	682950530	699396939	716100801	733177513	750759441	768538903	786847609	806515936	827456819	848548753	869488019	890689424	912290570	934215310	956283156	978494489	1000932475	1024856564	1047864246	1070287001	1092428069	1114729016	1137228523	1159644379	1182249725	1205046940	1227784564	1250903433	1274284159	1297074105	1319575349	1342297876	1364729158	1386723598	1408668987	1430540916	1452594512	1475489237	1498747598	1521794459	1544989965	1568156112	1590943276	1613538031	1636116654	1658346614	1680057055	1701518793	1721855010
Low & middle income	male	1129679592	1145136032	1167407304	1195972928	1224762968	1254017188	1284787419	1315559022	1347351417	1380437360	1414105664	1447926154	1481525569	1515815621	1549906212	1583106533	1615884188	1648518149	1681728305	1715691413	1750226338	1785862672	1823183596	1860813532	1898377597	1936725264	1976408360	2017440203	2058787691	2099999264	2142187301	2183010648	2222859267	2262218912	2301395311	2340396737	2379423555	2418452103	2457207864	2495426603	2533507427	2571496753	2609206958	2646641680	2684000844	2721266823	2758206829	2794915493	2831915367	2869512476	2907839765	2947290541	2987707553	3028459109	3069200677	3109394202	3149098741	3188872323	3227731824	3265582444	3301845849	3334998712
Lesotho	male	325063	336373	348002	359924	372103	384649	397817	414902	435851	457265	478954	500972	523395	546268	569790	593546	616030	636141	655043	674270	693999	714245	735031	756367	778245	800011	820284	838265	854700	870435	885455	899794	913361	925846	937399	948066	957508	965462	971510	975448	977454	977846	976926	974734	970962	966980	966460	970360	976899	984322	991753	999975	1009354	1019780	1031124	1043257	1056294	1069963	1083909	1097956	1112185	1125698
Late-demographic dividend	male	547277179	548135624	555277389	568275023	581051139	594170547	608704935	622784117	637272680	652530876	668066536	683919509	699032529	713673822	727573071	740337910	752561586	764112790	775372616	786573954	797711387	809233406	821823912	834403366	846531901	859058918	872408706	886550764	900786814	914448022	927309731	939621368	951200940	962065345	972644368	982777134	992714537	1002529326	1011947906	1020691860	1028677157	1036216622	1043235128	1050053792	1056761965	1063602659	1070662512	1077859499	1085247632	1092528287	1099198271	1106198576	1114264671	1122508240	1130449146	1137803920	1144872691	1151954996	1157938390	1162846237	1166180640	1167837039
Lithuania	male	1287258	1310507	1331499	1350492	1369636	1388797	1408085	1427086	1445189	1460508	1477302	1496892	1513855	1528803	1542949	1556058	1568554	1580654	1591765	1599755	1606314	1614986	1625775	1638542	1651949	1666053	1682572	1700851	1719466	1733236	1739236	1741307	1737877	1727500	1712846	1697041	1681826	1667399	1653563	1639902	1626157	1610286	1594819	1579542	1559736	1532393	1506004	1486138	1469516	1453062	1423431	1392784	1375889	1364087	1354801	1344893	1330868	1315577	1306463	1306199	1309308	1314395
Luxembourg	male	155086	156384	158189	159739	161462	163183	164203	164612	164937	165651	166309	168022	170508	172485	174562	176341	177052	177156	177279	177470	177856	178158	178028	177850	178017	178400	179262	180589	182158	184305	187088	190037	192813	195526	198196	200935	203711	206406	209265	212404	215218	217664	220026	222984	226576	230296	234135	237883	242384	247284	252173	258327	265181	271828	278610	285650	292233	299619	305653	311845	317212	322141
Latvia	male	935219	952917	969828	987116	1004436	1019606	1031098	1042851	1056245	1067751	1077154	1086585	1096388	1106235	1116313	1124978	1131593	1137936	1143839	1147569	1150421	1154256	1160055	1167629	1175855	1184779	1195939	1209748	1223453	1230439	1228833	1222762	1205243	1180135	1158232	1139504	1125021	1112734	1101454	1091735	1080560	1066061	1053100	1042643	1031198	1019762	1010084	1001767	991348	975346	955679	938923	928130	919411	912033	906010	899402	893094	887780	883240	878681	872894
St. Martin (French part)	male	2026	2090	2157	2227	2300	2384	2491	2620	2724	2797	2876	2954	3031	3111	3196	3301	3424	3549	3670	3781	3888	3986	4505	5566	6766	8021	9329	10688	12091	13518	14430	14672	14747	14774	14761	14711	14618	14486	14313	14249	14448	14777	15104	15426	15749	16063	16358	16645	16911	17147	17275	17226	17084	16916	16759	16659	16563	16412	16100	15749	15477	15188
Morocco	male	5875029	6033311	6196550	6359011	6519024	6689578	6870056	7058131	7250855	7446910	7648316	7852383	8053156	8251888	8452686	8658599	8868231	9089391	9325069	9568317	9824183	10089330	10357096	10627894	10895546	11156439	11401840	11628974	11848287	12060876	12271005	12477850	12681853	12882331	13076811	13275721	13479362	13682841	13885447	14083998	14279162	14473530	14665548	14850814	15038644	15240243	15447447	15654951	15864470	16077493	16297672	16525679	16757724	16990792	17220817	17444602	17665036	17881446	18087320	18281786	18474956	18665663
Monaco	male	9780	9841	9944	10113	10272	10402	10498	10550	10659	10859	11057	11228	11372	11483	11568	11714	11923	12114	12292	12454	12592	12712	12880	13113	13348	13572	13775	13961	14136	14293	14435	14577	14722	14864	15002	15140	15284	15436	15595	15727	15791	15791	15768	15741	15705	15662	15604	15518	15542	15813	16207	16604	16997	17370	17716	18043	18187	18159	18142	18145	18095	17982
Moldova	male	953227	978093	1001210	1022213	1041837	1059262	1076032	1091771	1106413	1120332	1133577	1146553	1159660	1172956	1186825	1200675	1214486	1227579	1240263	1252520	1264339	1276409	1289236	1302409	1315964	1329705	1343960	1359137	1372752	1383635	1391294	1396279	1398790	1399669	1397919	1392618	1391251	1387665	1388415	1387211	1384963	1382129	1379092	1375350	1371748	1368513	1365441	1363050	1361313	1360378	1359655	1359337	1359441	1359267	1358738	1348658	1333190	1310385	1287319	1266405	1251834	1241384
Madagascar	male	2586559	2652592	2720699	2790999	2863729	2938852	3016785	3098357	3183898	3273830	3368753	3469383	3575051	3684262	3796351	3911095	4028419	4148377	4271072	4396459	4524048	4653211	4784609	4918706	5055734	5196676	5341611	5492117	5649511	5813748	5986073	6166675	6355099	6552807	6759985	6975324	7198016	7427688	7663424	7903835	8147724	8395887	8648564	8906025	9169924	9440960	9720478	10007782	10302005	10603897	10910952	11219267	11527780	11837579	12150189	12466971	12791885	13124892	13462529	13804538	14148424	14490935
Maldives	male	50094	51184	52309	53473	54651	56312	58438	60420	62270	64150	66112	68153	70239	72336	74423	76527	78668	80790	82874	85014	87303	89707	92145	94553	97097	100072	103400	106833	110225	113559	116993	120499	123912	127190	130280	133257	136154	138876	141377	143644	145914	148364	150901	153458	156014	158562	163497	171583	180542	189739	199169	208805	218617	228512	239142	250493	261719	272628	282965	291624	297122	300736
Middle East & North Africa	male	53069401	54456998	55934456	57471988	59080161	60745353	62452675	64243012	66067297	67962627	69924197	71929821	73981805	76133303	78363265	80801584	83598544	86460121	89070264	91816195	94874866	98371241	101914990	105238023	108696959	112206114	115781019	119380987	122935629	126537272	131038695	134773267	138525724	141786018	144916204	148148437	151374061	154680962	157992721	161314740	164693960	168108858	171328300	174575865	178113122	182021184	186488646	191335409	196347412	201337963	205974257	210199487	214432543	218956876	223586099	228315279	232855706	237025104	241221003	245308297	248503623	251392634
Mexico	male	18239142	18822518	19442648	20090731	20765815	21467510	22188685	22927082	23683883	24455874	25242786	26026688	26811805	27618239	28439513	29272233	30106460	30970506	31868013	32755872	33584396	34310921	34984213	35658215	36325315	36978770	37616624	38242134	38872789	39504800	40210868	40987927	41768175	42556060	43350041	44138340	44906205	45665366	46420593	47168279	47900060	48635540	49386357	50132595	50881240	51619299	52329698	53024314	53699298	54363696	55086407	55882073	56674115	57427865	58145362	58824776	59489629	60126616	60685164	61187228	61587451	61856137
Marshall Islands	male	7877	8127	8389	8673	8975	9290	9615	10104	10924	11932	12719	13025	13095	13180	13438	13867	14316	14784	15268	15768	16313	16945	17648	18380	19140	19936	20752	21581	22393	23063	23602	24114	24607	25085	25549	25995	26429	26854	27273	27617	27814	27906	27945	27939	27902	27843	27769	27678	27555	27431	27355	27143	26746	26308	25823	25299	24738	24146	23529	22874	22190	21483
Middle income	male	1059448787	1073249698	1093796685	1120573893	1147487589	1174780656	1203531231	1232180949	1261745875	1292553461	1323888853	1355331844	1386552268	1418393387	1449898961	1480437822	1510499596	1540428460	1570688526	1601558973	1633534002	1666878810	1701363008	1735762838	1769969204	1804858454	1841079931	1878535124	1916281343	1953709374	1992092436	2028998332	2064175768	2098500916	2132912018	2167063382	2200958425	2234942167	2268676697	2301654235	2334522442	2367130965	2398669856	2429578907	2460550912	2491229373	2521113456	2550603991	2580402363	2610618790	2641396456	2673130555	2705885822	2739308901	2772698035	2805224514	2836729000	2867922293	2897882778	2926346483	2953012320	2976634314
North Macedonia	male	733351	742872	751902	760438	770197	780336	791038	802234	813749	825644	837604	849108	860736	872912	885272	897934	910912	924173	937817	951828	965935	980275	992152	1000622	1008067	1014743	1020772	1026258	1031054	1035101	1037601	1033963	1023450	1010218	1000757	1001978	1008429	1009742	1015194	1018471	1019933	1021064	1011852	1014780	1017372	1019222	1020570	1021926	1023354	1024995	1026890	1028400	1029448	1030732	1032212	1033390	1034319	1035143	1035846	1035939	1033662	1029632
Mali	male	2705849	2740787	2776335	2812494	2849486	2887474	2926082	2965711	3007067	3049862	3094657	3140775	3189289	3242023	3297551	3355058	3413931	3476736	3544739	3616792	3693961	3774534	3857012	3941968	4026528	4106882	4182097	4253662	4326758	4406898	4494384	4585961	4681556	4781508	4885980	4992990	5101668	5219023	5353275	5505559	5670841	5847171	6034984	6232629	6440171	6656944	6880921	7112186	7350044	7593666	7844770	8102832	8343041	8590210	8866537	9149561	9445909	9754475	10068477	10387581	10718339	11060744
Malta	male	156985	156449	155812	155081	154358	153031	151148	149317	147504	145724	144933	145041	145067	145156	145372	146817	147980	148964	150896	152792	154725	156209	160005	162675	163009	166047	168940	170213	171694	173438	175180	180001	181934	183808	185629	187081	188415	189934	191273	192511	193798	195236	196682	197937	199209	200402	201030	201658	202981	204618	205890	207194	209654	213359	218536	224836	231198	238841	248581	259854	266898	269705
Myanmar	male	10880547	11123595	11373626	11631079	11896365	12171984	12457211	12751503	13054539	13362921	13676103	13992477	14312546	14620573	14914517	15212151	15512415	15820028	16136562	16455704	16778339	17101753	17419302	17761164	18129840	18491226	18837035	19166835	19483683	19793226	20097501	20386829	20664015	20936959	21207605	21474841	21741026	22008508	22272745	22527182	22768081	22998986	23224582	23439572	23639855	23826893	24004090	24179492	24326716	24474765	24658341	24855326	25061327	25270624	25476524	25675431	25872492	26063229	26244290	26423311	26606176	26782671
Middle East & North Africa (excluding high income)	male	49093477	50338657	51644455	53012484	54437674	55916570	57442954	59018559	60634166	62287079	63976115	65687818	67427263	69215581	71074988	73118094	75476460	77864717	79981424	82210339	84742370	87731815	90777086	93585266	96532991	99498790	102498713	105503533	108451073	111434144	115620545	118854196	121836259	124516390	127130771	129857166	132545923	135277605	138007075	140735637	143516085	146338510	148977582	151652968	154622798	157664969	160724094	163807480	166939795	170161932	173519086	176792273	180054184	183617026	187387629	191103354	194557054	197817505	201182839	204606501	207864539	210961408
Montenegro	male	229347	234612	240439	246004	250329	252819	253116	251584	249200	247345	247011	248721	252201	256755	261425	265555	268928	271746	274273	276931	279989	283593	287572	291484	294773	297126	298391	298688	298331	297836	297571	297632	297948	298367	298688	298601	297958	296930	295645	294489	293731	294678	295606	296591	297191	297915	298577	299290	300084	300956	301687	302077	302449	302871	303191	303386	303492	303519	303440	303303	302841	301673
Mongolia	male	486071	504303	522553	538382	552274	567210	582973	599052	614882	630275	645997	662827	680886	700313	721034	742652	764662	786617	808314	828860	848678	869048	890000	911668	934258	957879	982413	1007529	1032870	1055818	1075781	1094697	1112467	1128931	1144078	1158033	1170894	1182681	1193744	1204825	1216362	1228209	1239950	1251264	1262236	1273074	1284280	1296789	1311312	1328168	1346373	1366548	1389613	1415077	1443209	1473641	1505633	1538598	1572333	1606094	1636094	1661462
Northern Mariana Islands	male	4362	4489	4637	4797	4961	5131	5305	5385	5276	5061	5190	5816	6610	7356	7798	7992	8168	8332	8489	8655	9257	10475	11929	13486	15146	16889	18691	20521	22348	24185	25276	25337	25128	24904	24677	24921	26785	29896	33136	36405	38212	38008	37181	36233	35179	34044	32859	31652	30450	29278	28107	27520	27523	27494	27427	27325	27200	27059	26903	26731	26631	26597
Mozambique	male	3319796	3387611	3466293	3547889	3630894	3715890	3802819	3891537	3982803	4076791	4174900	4279120	4392757	4515990	4647260	4787769	4935974	5095881	5269303	5447917	5583831	5696104	5825275	5954343	6078780	6193326	6296155	6313609	6305868	6371681	6479069	6606891	6733757	6926213	7274126	7610238	7850152	8064784	8255097	8451625	8655917	8872203	9100891	9339183	9586551	9838645	10094544	10360896	10636233	10923458	11236221	11577539	11941725	12326038	12722751	13128327	13561220	14002439	14426886	14851787	15293299	15737224
Mauritania	male	415366	427111	439401	452228	465643	479685	494376	509680	525526	541876	558672	575833	593398	611428	629956	649021	668644	688577	708894	729854	751538	774124	797514	821576	846314	871707	897707	924404	951956	976726	1002426	1032847	1073798	1118955	1158411	1191341	1215895	1243899	1277216	1312467	1349905	1381929	1409021	1437131	1466045	1496264	1528137	1561878	1597439	1635726	1677917	1724301	1774489	1825021	1875031	1926486	1979261	2033282	2088602	2145130	2202418	2260590
Mauritius	male	343446	345801	355900	365198	373851	382020	389749	397105	404168	411007	417659	424089	430301	436562	443081	449901	456943	464162	470037	478123	486137	493345	499416	504081	509513	513873	518000	522081	525869	530062	533959	539528	546143	552120	559342	563589	568771	575322	580806	587662	592881	597137	601013	605090	608604	611903	614420	616830	618617	619806	620864	621499	622915	623982	624779	625272	625358	625567	625567	625420	625026	624734
Malawi	male	1744786	1786842	1830584	1876131	1922991	1970993	2020506	2071722	2124497	2178279	2233465	2291206	2352075	2416456	2484910	2557641	2635088	2720160	2816680	2924593	3041298	3164970	3294468	3428651	3566260	3706698	3846497	4036938	4262030	4466243	4643501	4785228	4923007	4991571	4929944	4922616	5023324	5126131	5236453	5349843	5464600	5587759	5719293	5859615	6009766	6170251	6340083	6518572	6710463	6914014	7122580	7334829	7550255	7769339	7992387	8219165	8449079	8683181	8922676	9168342	9418758	9670800
Malaysia	male	3998586	4119275	4244424	4372658	4501673	4629885	4755181	4876880	4997249	5118190	5241436	5365364	5490829	5622394	5759824	5902426	6049825	6205309	6368557	6535024	6706385	6881926	7061416	7248756	7447087	7659684	7886831	8125834	8373510	8623302	8874067	9126944	9384297	9648873	9921365	10198689	10477978	10761106	11044606	11326235	11631359	11961265	12292325	12621130	12947693	13271796	13592989	13912833	14226719	14530672	14792312	15021118	15254994	15488512	15720763	15947910	16171861	16391213	16597324	16794024	16986172	17166530
North America	male	98623770	100196705	101658495	103056185	104432556	105640219	106699711	107683302	108641029	109664180	110988815	112640653	113882925	114978611	116038642	117183230	118280670	119426555	120616235	121883423	123066277	124301400	125530308	126717193	127865665	129051106	130310436	131584072	132882303	134316187	135962009	137853985	139824870	141707745	143490390	145244205	146987170	148801514	150573071	152360165	154134379	155739634	157221122	158576583	160069875	161582151	163171771	164734319	166312988	167809474	169243143	170591809	172057970	173460280	174915393	176326698	177796360	179139622	180348369	181441286	183234535	183449367
Namibia	male	284413	289464	295154	301501	308493	316216	324611	333652	343259	353413	364127	375302	387004	399037	411478	424534	436954	448849	456538	463897	472707	477680	486021	499106	512894	527905	544612	562712	583351	622933	663095	686171	708851	732221	755649	778208	799664	820359	840826	861105	880704	898800	914685	928045	939816	951218	962619	974469	987250	1001105	1015983	1031720	1048383	1065946	1084272	1103238	1122637	1142262	1161859	1181378	1201660	1221166
New Caledonia	male	41916	43092	44260	45461	46673	47860	49360	50857	52361	54678	58830	62953	65758	67252	68485	69190	69876	70771	71360	71680	72291	73445	74839	76235	77639	78999	80422	81974	83540	85197	87249	89525	91795	94197	96738	98944	100848	102718	104491	106292	108137	110022	111946	113696	115295	117133	119089	120949	122807	124466	126309	128491	130696	132901	134962	135460	135598	135652	135589	135376	135133	134914
Niger	male	1651968	1706918	1763599	1821852	1881448	1942200	2004197	2067624	2132008	2197065	2263043	2329498	2397004	2466265	2537329	2610894	2687544	2767904	2853297	2944506	3040671	3140836	3243825	3348983	3456927	3568331	3683306	3801992	3924368	4050884	4182727	4319112	4459780	4606508	4760553	4925075	5097742	5274708	5459930	5653148	5854008	6064010	6282467	6510942	6750283	7000404	7261337	7533650	7818388	8116165	8427645	8752209	9094942	9451592	9818188	10203110	10606660	11021796	11448927	11889761	12342370	12809135
Nigeria	male	22418787	22883240	23367743	23870161	24388349	24924766	25476085	26016803	26559798	27129404	27736415	28381969	29063582	29794732	30587900	31451041	32369334	33347403	34379235	35447016	36556463	37678670	38796327	39788602	40797578	41937296	43057499	44188940	45356384	46568868	47821647	49066769	50319410	51623928	52976399	54352793	55741393	57165978	58630607	60151488	61748370	63420738	65158785	66946860	68785095	70670683	72611203	74620905	76699005	78846020	81066457	83364643	85713800	88080932	90449577	92803434	95191980	97662955	100165119	102680839	105243174	107827012
Nicaragua	male	892073	919824	948517	978148	1008783	1040534	1073574	1108065	1144129	1181659	1220555	1260739	1299674	1339551	1382639	1426609	1471407	1516638	1560331	1600120	1642284	1688985	1735599	1780688	1823200	1864564	1906333	1948295	1991929	2038988	2087657	2136953	2186537	2235924	2284838	2332849	2377409	2418104	2456421	2493059	2528472	2561907	2593630	2624209	2654303	2687501	2724497	2762742	2802298	2843140	2885079	2927885	2971314	3015111	3059189	3103613	3148451	3193665	3239062	3284332	3329347	3375630
Netherlands	male	5722531	5799701	5884270	5965492	6047391	6132509	6214363	6285999	6351692	6425437	6504765	6580970	6645469	6697592	6747021	6803593	6852786	6889309	6927415	6970939	7021922	7065903	7094205	7117063	7141607	7171621	7208452	7251717	7296549	7338708	7388352	7446363	7502853	7555583	7601988	7640630	7676861	7717646	7766664	7819972	7877546	7938421	7990446	8029094	8057280	8076039	8089121	8106729	8138778	8181658	8224707	8265148	8298490	8325795	8358842	8399441	8447999	8502002	8555582	8615129	8665375	8712076
Norway	male	1784129	1798352	1812789	1826416	1840279	1854558	1868745	1883889	1899569	1914618	1927895	1941061	1955695	1968765	1980374	1990538	1998986	2006498	2013121	2019103	2024716	2030551	2037005	2043007	2047813	2053246	2060160	2070051	2082138	2090705	2097163	2107201	2119918	2132568	2144493	2155536	2166481	2178658	2192346	2208359	2224232	2236622	2249024	2262587	2276562	2293018	2313871	2342728	2377357	2410883	2443786	2479849	2517376	2551391	2583030	2611322	2636304	2658756	2676735	2695841	2712935	2728232
Nepal	male	5100164	5202925	5310110	5420815	5535685	5655693	5779467	5907327	6039743	6175602	6315266	6456816	6600369	6747323	6897703	7052449	7209462	7374650	7550471	7731858	7920157	8112119	8307692	8512469	8720141	8924478	9125435	9319489	9514748	9727439	9968610	10233862	10527373	10814338	11079433	11332246	11563404	11786496	12001525	12206968	12397651	12576001	12738215	12880352	13002461	13098713	13165531	13208569	13236099	13250671	13260079	13250056	13212056	13164892	13138985	13162846	13259469	13405797	13554172	13704208	13980445	14370965
