Data Source																																																															
																																																															
Last Updated Date																																																															
																																																															
Country Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Bahrain	male	89472	93020	96636	100342	104126	107593	110650	113632	116609	119589	122546	127615	135651	144637	153870	163347	173037	182912	192929	203056	213247	222489	230550	238556	246906	255613	264658	273983	283521	293183	302861	313375	324822	336425	348166	360022	371964	383949	395916	407807	419570	431149	442442	462113	499158	545191	591506	638061	684764	731120	754000	753809	765423	787263	810704	841699	877025	912197	931994	933409	920430	908649
Bosnia and Herzegovina	male	1576206	1607169	1637878	1668083	1697601	1726364	1754322	1781244	1807074	1832044	1856294	1880159	1903905	1927300	1950251	1972824	1994840	2016052	2036411	2056059	2075489	2095407	2115796	2135878	2154989	2172440	2187793	2201349	2212829	2221494	2227391	2230378	2109222	1929366	1830752	1822525	1901095	1971607	2005951	2025390	2038674	2046480	2048780	2042127	2021970	1997892	1979755	1955141	1923825	1891814	1859263	1826158	1792508	1765649	1745230	1724918	1706069	1688023	1670236	1652504	1632854	1610168
Belarus	male	3665385	3711084	3760737	3812810	3865379	3916650	3968035	4020228	4071960	4121388	4166744	4209614	4250533	4288023	4320875	4347372	4370547	4396727	4426939	4454909	4482745	4514788	4546025	4577998	4610177	4641942	4677570	4714555	4732593	4751254	4764579	4769316	4781692	4793338	4785969	4766533	4746319	4722599	4697636	4673352	4648837	4623156	4591597	4556725	4523002	4489280	4459004	4436621	4419504	4406288	4393551	4379214	4369319	4366594	4368497	4374019	4377765	4372291	4361667	4350290	4327916	4305368
Belize	male	45294	46531	47816	49216	50725	52315	53984	55711	57469	59185	60672	61902	63014	64066	65086	66314	67770	69245	70741	72316	74094	75959	77760	79552	81345	83159	84995	86837	88689	90546	92420	94400	96410	98382	100525	103111	106262	109906	113805	117713	121540	125328	129160	133040	136966	140947	144981	149054	153151	157247	161229	165130	169071	173067	177061	180965	184798	188588	192359	195944	198810	201231
Bermuda	male	22555	23176	23755	24336	24974	25614	26095	26626	27153	27678	28193	27932	27631	27338	27050	26763	26775	26782	26792	26810	27184	27342	27518	27737	27963	28190	28414	28621	28838	29051	29261	29074	28822	28939	29109	29288	29444	29583	29762	29890	30126	30434	30625	30832	31042	31239	31408	31567	31740	31921	31673	31399	31513	31606	31669	31722	31368	30993	30975	30926	30872	30809
Bolivia	male	1828792	1867352	1907104	1947957	1989946	2033201	2077758	2123704	2171087	2219978	2270363	2322303	2375760	2430744	2487398	2545323	2604537	2665352	2727627	2791051	2855272	2920137	2985628	3051776	3118854	3187147	3256758	3327883	3400530	3474310	3549041	3624585	3700608	3779539	3860430	3940256	4019794	4099171	4178700	4259118	4339846	4418319	4495206	4573038	4651928	4731985	4814077	4897753	4981806	5066350	5151373	5236810	5322361	5407879	5493370	5578609	5663718	5748534	5832721	5916395	5992275	6058547
Brazil	male	36658093	37763189	38880853	40022356	41178982	42341802	43501291	44654516	45803221	46954565	48120365	49299338	50494031	51711003	52942384	54191033	55466856	56776528	58121654	59496395	60900921	62325393	63758884	65200304	66640984	68072012	69484466	70876452	72249586	73603042	74926452	76207261	77454942	78689973	79924696	81155182	82377561	83593268	84799768	85981420	87124330	88233218	89303580	90318606	91303580	92281701	93237364	94163019	95059746	95935867	96806825	97676016	98526889	99355387	100185186	101008689	101794390	102567011	103354449	104119798	104779288	105291292
Barbados	male	109356	110136	111094	111988	112820	113591	114312	114984	115612	116231	116876	117507	118132	118793	119462	120142	120842	121561	122294	123010	123576	123972	124293	124553	124751	124876	124903	124832	124683	124490	124496	124781	125129	125450	125727	125947	126121	126267	126421	126650	126860	127156	127609	128040	128444	128828	129191	129595	130103	130593	131042	131499	131915	132304	132669	133010	133334	133644	133936	134222	134528	134833
Brunei Darussalam	male	45197	47559	49972	52466	55062	57746	60502	63318	66184	69108	72073	75023	77892	80727	83600	86525	89500	92522	95592	98741	102013	105384	108820	112353	116019	119826	123764	127805	131907	136046	140191	144221	148004	151619	155194	158735	162237	165703	169134	172529	175917	179279	182567	185758	188857	191886	194829	197694	200494	203252	206007	208672	211233	213768	216245	218636	220910	223039	225018	226876	228677	230451
Bhutan	male	114342	117420	120816	124501	128352	132410	136684	141167	145862	150791	155928	161236	166727	172413	178285	184348	190627	197113	203802	210630	217530	224491	231511	238655	245947	253344	260852	268469	276138	283847	290974	295431	283752	270365	270280	273243	278120	282692	287771	295699	305835	315896	325859	335712	345443	353558	358990	363234	367382	371464	375519	379579	383648	387678	391565	395186	398635	401839	404630	407103	409408	411668
Botswana	male	245526	250716	256178	261954	268042	271045	270805	270536	270286	270103	270824	275720	287231	303536	321851	341204	361646	383132	405567	428841	452548	475596	495740	513809	532159	550865	569898	589039	607974	626588	644872	662778	682074	703077	723933	744130	763638	782593	801216	819663	837941	855998	873216	889736	906524	924057	942814	962918	984034	1005676	1027633	1049169	1070002	1090948	1112387	1134801	1158587	1183506	1208678	1233202	1256708	1277735
Central African Republic	male	829819	845101	861139	877981	895721	914466	934330	955365	977606	1000787	1023755	1045744	1066991	1088176	1109907	1132247	1150536	1164554	1178760	1193270	1208112	1223387	1239120	1255262	1271891	1289065	1306748	1325111	1347747	1381464	1423331	1467094	1513359	1561544	1610316	1653665	1695846	1742332	1789772	1839287	1890780	1932553	1974502	2022398	2066395	2113131	2155709	2196084	2241689	2290077	2337512	2373193	2393552	2407515	2404501	2413818	2455675	2501138	2549256	2605852	2672080	2728280
Canada	male	9058385	9230191	9390542	9554327	9724573	9891746	10069210	10245973	10406746	10541470	10690634	11017954	11143645	11271483	11421920	11580385	11721886	11846663	11951670	12059357	12207486	12351269	12491219	12607190	12719137	12829620	12954522	13124619	13291351	13525249	13727739	13898978	14058366	14205971	14357602	14502515	14653835	14802324	14925642	15047875	15193559	15366067	15538106	15680044	15828266	15980635	16144134	16300676	16477121	16666218	16852629	17020916	17213242	17402916	17582153	17714395	17917265	18138320	18405543	18680213	18900330	19005273
